hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,reservation_status_date,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,CPI_AVG,INFLATION,CSMR_SENT,GDP,FUEL_PRCS
Resort Hotel,0,24,2015,October,40,1,0,3,1,0,0,BB,FRA,10-04-2015,Online TA,TA/TO,9,0,0,E,E,0,No Deposit,240.00,0,Transient,93,1,2,Check-Out,238,1.90,90,18332,173.5
Resort Hotel,1,33,2015,November,45,1,1,0,1,0,0,BB,PRT,11-01-2015,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,0,Transient,25,0,0,No-Show,238,2.00,91,18332,167.4
Resort Hotel,1,1,2015,November,45,1,1,0,2,0,0,BB,PRT,11-01-2015,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.00,0,Transient,49,0,1,No-Show,238,2.00,91,18332,167.4
Resort Hotel,0,4,2015,November,45,1,1,0,1,0,0,BB,PRT,11-02-2015,Online TA,TA/TO,12,0,0,A,D,0,No Deposit,240.00,0,Transient,39,0,0,Check-Out,238,2.00,91,18332,167.4
Resort Hotel,0,5,2015,November,45,1,1,0,2,0,0,HB,ESP,11-02-2015,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196.00,0,Transient,55,0,0,Check-Out,238,2.00,91,18332,167.4
Resort Hotel,0,1,2015,November,45,1,1,0,2,0,0,BB,ESP,11-02-2015,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,240.00,0,Transient,44.1,0,1,Check-Out,238,2.00,91,18332,167.4
Resort Hotel,1,33,2015,November,45,1,1,0,1,0,0,BB,PRT,11-01-2015,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,0,Transient,25,0,0,No-Show,238,2.00,91,18332,167.4
Resort Hotel,0,76,2015,November,45,1,2,3,2,0,0,HB,GBR,11-06-2015,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.00,0,Contract,55.04,0,0,Check-Out,238,2.00,91,18332,167.4
Resort Hotel,0,20,2015,December,49,1,0,0,1,0,0,BB,PRT,12-01-2015,Online TA,TA/TO,6,0,0,A,I,0,No Deposit,240.00,0,Transient,0,0,0,Check-Out,238,2.10,93,18332,130.8
Resort Hotel,0,118,2015,December,49,1,0,5,2,0,0,BB,PRT,12-06-2015,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.00,0,Transient,32.4,0,1,Check-Out,238,2.10,93,18332,130.8
Resort Hotel,1,87,2015,December,49,1,2,5,2,0,0,BB,PRT,19-10-2015,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.00,0,Transient,50.4,0,1,Canceled,238,1.90,90,18332,173.5
Resort Hotel,0,118,2015,December,49,1,2,5,2,0,0,BB,BEL,12-08-2015,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.00,0,Transient,29.16,0,1,Check-Out,238,2.10,93,18332,130.8
Resort Hotel,0,82,2015,December,49,2,0,0,2,0,0,BB,PRT,12-02-2015,Online TA,TA/TO,0,0,0,A,I,0,No Deposit,240.00,0,Transient,0,0,2,Check-Out,238,2.10,93,18332,130.8
Resort Hotel,0,21,2015,December,49,2,0,1,2,0,0,BB,GBR,12-03-2015,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.00,0,Transient,61.2,1,2,Check-Out,238,2.10,93,18332,130.8
Resort Hotel,0,109,2016,January,1,1,0,1,2,0,0,BB,RUS,01-02-2016,Online TA,TA/TO,12,0,0,A,D,0,No Deposit,240.00,0,Transient-Party,59.94,0,1,Check-Out,238,2.20,92,18425,119.2
Resort Hotel,0,109,2016,January,1,1,0,1,2,2,0,BB,RUS,01-02-2016,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.00,0,Transient-Party,116.1,1,1,Check-Out,238,2.20,92,18425,119.2
Resort Hotel,1,2,2016,January,1,1,0,1,2,0,0,BB,PRT,01-01-2016,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.00,0,Transient,89,0,1,No-Show,238,2.20,92,18425,119.2
Resort Hotel,0,88,2016,January,1,1,0,2,2,0,0,HB,ARG,01-03-2016,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,241.00,0,Transient,73.46,0,2,Check-Out,238,2.20,92,18425,119.2
Resort Hotel,1,20,2016,January,1,1,0,2,2,2,0,BB,PRT,22-12-2015,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.00,0,Transient,119,0,0,Canceled,238,2.10,93,18332,130.8
Resort Hotel,1,76,2016,January,1,1,1,2,2,0,0,BB,PRT,20-12-2015,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.00,0,Transient,57.9,0,1,Canceled,238,2.10,93,18332,130.8
Resort Hotel,0,88,2016,January,1,1,0,2,2,1,0,HB,ARG,01-03-2016,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,241.00,0,Transient,90.17,0,2,Check-Out,238,2.20,92,18425,119.2
Resort Hotel,1,3,2016,February,6,1,1,0,1,0,0,BB,PRT,02-01-2016,Corporate,Corporate,3,0,0,A,D,0,No Deposit,NULL,0,Transient-Party,39,0,0,Canceled,237,2.30,92,18425,113.4
Resort Hotel,1,3,2016,February,6,1,1,0,1,0,0,BB,PRT,02-01-2016,Corporate,Corporate,0,0,0,A,D,0,No Deposit,NULL,0,Transient-Party,39,0,0,Canceled,237,2.30,92,18425,113.4
Resort Hotel,0,0,2016,February,6,1,1,0,1,0,0,BB,PRT,02-02-2016,Corporate,Corporate,0,0,0,A,D,0,No Deposit,NULL,0,Transient,39,0,1,Check-Out,237,2.30,92,18425,113.4
Resort Hotel,1,13,2016,February,6,1,1,0,2,0,0,BB,PRT,27-01-2016,Direct,Direct,0,0,0,E,E,1,No Deposit,250.00,0,Transient,67,0,0,Canceled,238,2.20,92,18425,119.2
Resort Hotel,1,11,2016,February,6,1,1,3,1,0,0,BB,PRT,25-01-2016,Corporate,Corporate,0,0,0,A,D,0,No Deposit,94.00,0,Transient,27,0,0,Canceled,238,2.20,92,18425,119.2
Resort Hotel,1,28,2016,February,6,1,1,3,2,0,0,BB,PRT,01-11-2016,Online TA,TA/TO,2,0,0,D,D,0,No Deposit,240.00,0,Transient,46.4,0,2,Canceled,238,2.20,92,18425,119.2
Resort Hotel,0,101,2016,February,6,1,2,5,2,0,0,BB,GBR,02-08-2016,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.00,0,Transient,43.2,0,1,Check-Out,237,2.30,92,18425,113.4
Resort Hotel,1,15,2016,March,10,1,0,1,2,0,0,BB,PRT,03-01-2016,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.00,0,Transient,48,0,0,No-Show,238,2.20,91,18425,119.4
Resort Hotel,1,144,2016,March,10,1,0,3,1,0,0,HB,PRT,01-12-2016,Online TA,TA/TO,7,0,0,A,A,1,No Deposit,240.00,0,Transient,70,0,2,Canceled,238,2.20,92,18425,119.2
Resort Hotel,1,45,2016,March,10,1,0,5,2,0,0,HB,PRT,20-01-2016,Groups,Direct,0,0,0,E,E,0,No Deposit,NULL,0,Transient-Party,81,0,0,Canceled,238,2.20,92,18425,119.2
Resort Hotel,1,45,2016,March,10,1,0,5,2,0,0,HB,PRT,20-01-2016,Groups,Direct,0,0,0,E,E,0,No Deposit,NULL,0,Transient-Party,81,0,0,Canceled,238,2.20,92,18425,119.2
Resort Hotel,1,45,2016,March,10,1,0,5,2,0,0,HB,PRT,20-01-2016,Groups,Direct,0,0,0,E,E,0,No Deposit,NULL,0,Transient-Party,81,0,0,Canceled,238,2.20,92,18425,119.2
Resort Hotel,1,45,2016,March,10,1,0,5,2,0,0,HB,PRT,20-01-2016,Groups,Direct,0,0,0,E,E,0,No Deposit,NULL,0,Transient-Party,81,0,0,Canceled,238,2.20,92,18425,119.2
Resort Hotel,1,45,2016,March,10,1,0,5,2,0,0,BB,PRT,27-02-2016,Direct,Direct,0,0,0,A,A,0,No Deposit,250.00,0,Transient,78,0,0,Canceled,237,2.30,92,18425,113.4
Resort Hotel,1,31,2016,April,14,1,0,2,2,0,0,BB,PRT,28-03-2016,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.00,0,Transient,94.16,0,1,Canceled,238,2.20,91,18425,119.4
Resort Hotel,0,0,2016,April,14,1,0,2,1,0,0,BB,GBR,04-03-2016,Groups,Direct,0,0,0,A,D,0,Non Refund,NULL,0,Transient-Party,60,0,0,Check-Out,239,2.10,89,18612,123.6
Resort Hotel,0,144,2016,April,14,1,2,2,2,0,0,BB,GBR,04-05-2016,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,177.00,0,Transient-Party,41.4,0,0,Check-Out,239,2.10,89,18612,123.6
Resort Hotel,0,144,2016,April,14,1,2,2,2,0,0,BB,IRL,04-05-2016,Offline TA/TO,TA/TO,5,0,0,A,D,1,No Deposit,177.00,0,Transient-Party,41.4,0,0,Check-Out,239,2.10,89,18612,123.6
Resort Hotel,0,144,2016,April,14,1,2,2,2,0,0,BB,GBR,04-05-2016,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,177.00,0,Transient-Party,41.4,0,0,Check-Out,239,2.10,89,18612,123.6
Resort Hotel,0,163,2016,April,14,1,2,5,2,0,0,BB,CHE,04-08-2016,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.00,0,Transient,60.2,1,2,Check-Out,239,2.10,89,18612,123.6
Resort Hotel,1,38,2016,April,14,1,2,7,2,0,0,BB,PRT,29-02-2016,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.00,0,Transient,68.56,0,1,Canceled,237,2.30,92,18425,113.4
Resort Hotel,1,36,2016,May,19,1,2,0,2,2,0,BB,CHE,27-03-2016,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.00,0,Transient,125,0,0,Canceled,238,2.20,91,18425,119.4
Resort Hotel,1,14,2016,May,19,1,2,1,2,0,0,BB,PRT,18-04-2016,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,5.00,0,Transient,72,0,0,Canceled,239,2.10,89,18612,123.6
Resort Hotel,1,76,2016,May,19,1,2,2,2,0,0,BB,PRT,03-11-2016,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.00,0,Transient,73,0,1,Canceled,238,2.20,91,18425,119.4
Resort Hotel,1,32,2016,May,19,1,2,3,2,0,0,BB,PRT,18-04-2016,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.00,0,Transient,95,0,0,Canceled,239,2.10,89,18612,123.6
Resort Hotel,1,232,2016,May,19,1,2,4,2,0,0,BB,PRT,23-02-2016,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,314.00,0,Transient,70.4,0,0,Canceled,237,2.30,92,18425,113.4
Resort Hotel,0,229,2016,May,19,1,2,4,2,0,0,BB,GBR,05-07-2016,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,314.00,0,Transient,70.4,0,1,Check-Out,240,2.20,95,18612,144.4
Resort Hotel,1,186,2016,May,19,1,2,5,2,0,0,BB,PRT,29-03-2016,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.00,0,Transient,46.98,0,0,Canceled,238,2.20,91,18425,119.4
Resort Hotel,1,7,2016,June,23,1,0,1,1,0,0,BB,PRT,31-05-2016,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,0,Transient,57,0,0,Canceled,240,2.20,95,18612,144.4
Resort Hotel,1,179,2016,June,23,1,0,1,2,0,0,BB,PRT,13-05-2016,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,251.00,0,Transient-Party,78,0,0,Canceled,240,2.20,95,18612,144.4
Resort Hotel,1,2,2016,June,23,1,0,1,1,0,0,BB,PRT,06-01-2016,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,0,Transient,57,0,0,Canceled,240,2.20,94,18612,155.4
Resort Hotel,1,215,2016,June,23,1,0,3,2,0,0,FB,PRT,12-01-2015,Groups,TA/TO,0,0,0,A,A,0,Non Refund,96.00,0,Transient,110,0,0,Canceled,238,2.10,93,18332,130.8
Resort Hotel,1,215,2016,June,23,1,0,3,2,0,0,FB,PRT,12-01-2015,Groups,TA/TO,0,0,0,A,A,0,Non Refund,96.00,0,Transient,110,0,0,Canceled,238,2.10,93,18332,130.8
Resort Hotel,1,215,2016,June,23,1,0,3,2,0,0,FB,PRT,12-01-2015,Groups,TA/TO,0,0,0,A,A,0,Non Refund,96.00,0,Transient,110,0,0,Canceled,238,2.10,93,18332,130.8
Resort Hotel,1,215,2016,June,23,1,0,3,2,0,0,FB,PRT,12-01-2015,Groups,TA/TO,0,0,0,A,A,0,Non Refund,96.00,0,Transient,110,0,0,Canceled,238,2.10,93,18332,130.8
Resort Hotel,1,68,2016,July,27,1,0,1,3,1,0,BB,CN,30-05-2016,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.00,0,Transient,225,0,0,Canceled,240,2.20,95,18612,144.4
Resort Hotel,1,62,2016,July,27,1,0,2,2,2,0,BB,IND,05-01-2016,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.00,0,Transient,220,0,0,Canceled,240,2.20,95,18612,144.4
Resort Hotel,1,9,2016,July,27,1,0,2,2,0,0,BB,PRT,07-01-2016,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242.00,0,Transient,169,0,1,No-Show,240,2.20,90,18775,157.6
Resort Hotel,1,255,2016,July,27,1,2,2,2,2,0,BB,PRT,20-10-2015,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.00,0,Transient,142.5,0,0,Canceled,238,1.90,90,18332,173.5
Resort Hotel,0,254,2016,July,27,1,2,2,3,1,0,BB,CN,07-05-2016,Direct,Direct,0,0,0,G,G,0,No Deposit,250.00,0,Transient,135.25,1,0,Check-Out,240,2.20,90,18775,157.6
Resort Hotel,1,178,2016,July,27,1,2,5,2,0,1,BB,PRT,02-12-2016,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.00,0,Transient,81,0,1,Canceled,237,2.30,92,18425,113.4
Resort Hotel,1,148,2016,August,32,1,1,2,2,0,0,BB,ESP,03-06-2016,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.00,0,Transient,160,0,0,Canceled,238,2.20,91,18425,119.4
Resort Hotel,1,148,2016,August,32,1,1,2,2,0,0,BB,ESP,03-06-2016,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.00,0,Transient,160,0,0,Canceled,238,2.20,91,18425,119.4
Resort Hotel,1,199,2016,August,32,1,1,3,2,0,0,HB,PRT,08-01-2016,Direct,Direct,0,0,0,A,A,1,No Deposit,250.00,0,Transient,170,0,0,No-Show,241,2.30,90,18775,149.8
Resort Hotel,1,201,2016,August,32,1,1,3,2,0,0,HB,PRT,02-03-2016,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.00,0,Transient,172.8,0,1,Canceled,237,2.30,92,18425,113.4
Resort Hotel,1,265,2016,August,32,1,1,3,2,2,0,BB,PRT,26-04-2016,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.00,0,Transient,240,0,0,Canceled,239,2.10,89,18612,123.6
Resort Hotel,0,285,2016,August,32,1,1,3,2,2,0,BB,LUX,08-05-2016,Direct,Direct,0,0,0,G,G,0,No Deposit,NULL,0,Transient,153.25,0,1,Check-Out,241,2.30,90,18775,149.8
Resort Hotel,1,346,2016,September,36,1,0,1,2,0,0,BB,PRT,21-10-2015,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.00,0,Transient,81,0,2,Canceled,238,1.90,90,18332,173.5
Resort Hotel,1,43,2016,September,36,1,0,1,2,0,0,BB,PRT,26-07-2016,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.00,0,Transient,189,0,1,Canceled,240,2.20,90,18775,157.6
Resort Hotel,1,346,2016,September,36,1,0,1,2,0,0,BB,PRT,21-10-2015,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.00,0,Transient,81,0,2,Canceled,238,1.90,90,18332,173.5
Resort Hotel,1,346,2016,September,36,1,0,1,1,0,0,BB,PRT,21-10-2015,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.00,0,Transient,72.9,0,2,Canceled,238,1.90,90,18332,173.5
Resort Hotel,1,22,2016,September,36,1,0,3,1,0,0,BB,PRT,09-01-2016,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.00,0,Transient,189,0,2,Canceled,241,2.20,91,18775,163.1
Resort Hotel,1,41,2016,September,36,1,1,3,2,0,1,BB,GBR,17-08-2016,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240.00,0,Transient,234,0,3,Canceled,241,2.30,90,18775,149.8
Resort Hotel,1,239,2016,September,36,1,1,3,2,2,0,BB,PRT,02-03-2016,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.00,0,Transient,145,0,0,Canceled,237,2.30,92,18425,113.4
Resort Hotel,1,65,2016,October,40,1,1,1,2,0,0,BB,CN,09-09-2016,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.00,0,Transient,99,0,1,Canceled,241,2.20,91,18775,163.1
Resort Hotel,1,24,2016,October,40,1,1,1,2,1,1,BB,PRT,19-09-2016,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240.00,0,Transient,169,0,3,Canceled,241,2.20,91,18775,163.1
Resort Hotel,1,65,2016,October,40,1,2,1,2,0,0,BB,GBR,16-09-2016,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.00,0,Transient,99,0,1,Canceled,241,2.20,91,18775,163.1
Resort Hotel,1,157,2016,October,40,1,2,2,2,0,0,BB,PRT,05-09-2016,Offline TA/TO,TA/TO,0,0,0,D,D,0,Non Refund,96.00,0,Transient,52,0,0,Canceled,240,2.20,95,18612,144.4
Resort Hotel,1,157,2016,October,40,1,2,2,2,0,0,BB,PRT,05-09-2016,Offline TA/TO,TA/TO,0,0,0,D,D,0,Non Refund,96.00,0,Transient,52,0,0,Canceled,240,2.20,95,18612,144.4
Resort Hotel,1,157,2016,October,40,1,2,2,2,0,0,BB,PRT,05-09-2016,Offline TA/TO,TA/TO,0,0,0,D,D,0,Non Refund,96.00,0,Transient,52,0,0,Canceled,240,2.20,95,18612,144.4
Resort Hotel,1,157,2016,October,40,1,2,2,2,0,0,BB,PRT,05-09-2016,Offline TA/TO,TA/TO,0,0,0,D,D,0,Non Refund,96.00,0,Transient,52,0,0,Canceled,240,2.20,95,18612,144.4
Resort Hotel,1,207,2016,October,40,1,2,2,2,0,0,BB,ESP,13-03-2016,Online TA,TA/TO,9,0,0,D,D,0,No Deposit,240.00,0,Transient,83,0,0,Canceled,238,2.20,91,18425,119.4
Resort Hotel,1,1,2016,November,45,1,0,1,1,0,0,BB,ESP,11-01-2016,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.00,0,Transient,75,0,0,No-Show,242,2.10,94,18968,157
Resort Hotel,1,378,2016,November,45,1,0,2,2,0,0,BB,PRT,18-10-2016,Groups,TA/TO,0,0,0,A,A,0,Non Refund,248.00,0,Transient,46,0,0,Canceled,242,2.10,87,18968,159.7
Resort Hotel,1,378,2016,November,45,1,0,2,2,0,0,BB,PRT,03-11-2016,Groups,TA/TO,0,0,0,A,A,0,Non Refund,248.00,0,Transient,46,0,0,Canceled,238,2.20,91,18425,119.4
Resort Hotel,1,378,2016,November,45,1,0,2,2,0,0,BB,PRT,18-10-2016,Groups,TA/TO,0,0,0,A,A,0,Non Refund,248.00,0,Transient,46,0,0,Canceled,242,2.10,87,18968,159.7
Resort Hotel,1,378,2016,November,45,1,0,2,2,0,0,BB,PRT,18-10-2016,Groups,TA/TO,0,0,0,A,A,0,Non Refund,248.00,0,Transient,46,0,0,Canceled,242,2.10,87,18968,159.7
Resort Hotel,1,22,2016,November,45,1,0,2,2,0,0,BB,ESP,15-10-2016,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.00,0,Transient,63,0,2,Canceled,242,2.10,87,18968,159.7
Resort Hotel,1,7,2016,December,49,1,0,2,1,0,0,BB,PRT,30-10-2016,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.00,0,Transient-Party,63,0,1,Canceled,242,2.10,94,18968,157
Resort Hotel,1,16,2016,December,49,1,0,1,2,0,0,BB,ITA,15-11-2016,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.00,0,Transient,60,0,2,Canceled,242,2.10,94,18968,157
Resort Hotel,1,43,2016,December,49,1,0,2,2,0,0,BB,PRT,24-10-2016,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.00,0,Transient,66,0,1,Canceled,242,2.10,87,18968,159.7
Resort Hotel,1,88,2016,December,49,1,0,3,2,0,0,BB,PRT,23-09-2016,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.00,0,Transient,39.9,0,1,Canceled,241,2.20,91,18775,163.1
Resort Hotel,1,139,2016,December,49,1,1,3,2,0,0,BB,USA,19-07-2016,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.00,0,Transient,55.8,0,0,Canceled,240,2.20,90,18775,157.6
Resort Hotel,1,135,2016,December,49,1,1,3,2,0,0,BB,USA,13-11-2016,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.00,0,Transient,55.8,0,1,Canceled,242,2.10,94,18968,157
Resort Hotel,1,14,2016,December,49,1,0,3,2,0,0,BB,IRL,17-11-2016,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.00,0,Transient,60,0,0,Canceled,242,2.10,94,18968,157
Resort Hotel,1,74,2017,January,1,1,1,0,2,0,0,BB,PRT,20-10-2016,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,5.00,0,Transient,57.6,0,0,Canceled,242,2.10,87,18968,159.7
Resort Hotel,1,62,2017,January,1,1,2,2,2,0,0,BB,AUT,12-04-2016,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.00,0,Transient,51.5,0,1,Canceled,243,2.20,98,18968,158.8
